p:(0.777505,0.00698012),h:3,n:13,cr:1.25689;
p:(0.777505,0.00698012),h:2,n:47,cr:0.377895;
p:(0.865181,0.0939195),h:2,n:51,cr:0.305494;
p:(0.849272,0.831462),h:2,n:63,cr:0.263772;
p:(0.137232,0.804177),h:2,n:48,cr:0.234821;
p:(0.121143,0.685786),h:2,n:51,cr:0.428389;
p:(0.0174566,0.717597),h:2,n:71,cr:0.484307;
p:(0.610399,0.392399),h:2,n:37,cr:0.275646;
p:(0.938399,0.375937),h:2,n:37,cr:0.305695;
p:(0.494407,0.552568),h:2,n:62,cr:0.31087;
p:(0.00346381,0.298694),h:2,n:57,cr:0.334468;
p:(0.373556,0.199003),h:2,n:55,cr:0.331775;
p:(0.999241,0.756143),h:2,n:39,cr:0.383242;
p:(0.46142,0.819677),h:2,n:47,cr:0.275983;
p:(0.777505,0.00698012),h:1,n:63,cr:0.0440956;
p:(0.732568,0.0376578),h:1,n:42,cr:0.0619038;
p:(0.748678,0.0364959),h:1,n:43,cr:0.0511294;
p:(0.728296,0.0465127),h:1,n:71,cr:0.0522988;
p:(0.647522,0.100686),h:1,n:37,cr:0.0348269;
p:(0.633734,0.14008),h:1,n:56,cr:0.0322779;
p:(0.622167,0.191028),h:1,n:50,cr:0.0511375;
p:(0.64684,0.20628),h:1,n:40,cr:0.0262446;
p:(0.626125,0.176239),h:1,n:36,cr:0.037938;
p:(0.622011,0.156244),h:1,n:45,cr:0.0397112;
p:(0.614227,0.070557),h:1,n:46,cr:0.0625882;
p:(0.6076,0.104174),h:1,n:50,cr:0.0324984;
p:(0.593892,0.180372),h:1,n:57,cr:0.0508266;
p:(0.566164,0.190709),h:1,n:45,cr:0.0460314;
p:(0.52021,0.0782321),h:1,n:40,cr:0.0336975;
p:(0.500898,0.0977211),h:1,n:40,cr:0.0413481;
p:(0.578054,0.0635237),h:1,n:63,cr:0.0430502;
p:(0.591111,0.0534394),h:1,n:36,cr:0.03504;
p:(0.462065,0.132558),h:1,n:38,cr:0.044464;
p:(0.453259,0.107613),h:1,n:50,cr:0.040398;
p:(0.498525,0.121259),h:1,n:41,cr:0.0335003;
p:(0.487427,0.157272),h:1,n:56,cr:0.0478343;
p:(0.534822,0.0446891),h:1,n:52,cr:0.0400651;
p:(0.579022,0.0329634),h:1,n:43,cr:0.0248752;
p:(0.621823,0.0408643),h:1,n:42,cr:0.0504298;
p:(0.597114,0.00788008),h:1,n:43,cr:0.0373728;
p:(0.525995,0.0860558),h:1,n:73,cr:0.0525788;
p:(0.712087,0.182556),h:1,n:52,cr:0.0322832;
p:(0.72755,0.139058),h:1,n:72,cr:0.0774549;
p:(0.684893,0.0513816),h:1,n:61,cr:0.0548402;
p:(0.659146,0.0363274),h:1,n:45,cr:0.0448439;
p:(0.687861,0.165974),h:1,n:44,cr:0.0361036;
p:(0.692488,0.145373),h:1,n:38,cr:0.043302;
p:(0.719269,0.113281),h:1,n:72,cr:0.0481983;
p:(0.687387,0.0996401),h:1,n:54,cr:0.0417239;
p:(0.678878,0.215066),h:1,n:44,cr:0.0421377;
p:(0.68017,0.230677),h:1,n:36,cr:0.0421209;
p:(0.511541,0.174608),h:1,n:39,cr:0.0289196;
p:(0.527075,0.177133),h:1,n:41,cr:0.0404959;
p:(0.532846,0.154724),h:1,n:47,cr:0.0411021;
p:(0.568076,0.122664),h:1,n:44,cr:0.039754;
p:(0.457702,0.0630958),h:1,n:59,cr:0.0509292;
p:(0.555398,0.0145793),h:1,n:62,cr:0.0675268;
p:(0.452404,0.048346),h:1,n:58,cr:0.0472881;
p:(0.434513,0.00323146),h:1,n:42,cr:0.0486493;
p:(0.508799,0.00472651),h:1,n:37,cr:0.0450146;
p:(0.48235,0.021094),h:1,n:45,cr:0.0518683;
p:(0.865181,0.0939195),h:1,n:66,cr:0.0373922;
p:(0.840804,0.0674623),h:1,n:45,cr:0.0413848;
p:(0.793879,0.054214),h:1,n:46,cr:0.0312753;
p:(0.837417,0.0403683),h:1,n:47,cr:0.0513416;
p:(0.809095,0.131702),h:1,n:72,cr:0.0432082;
p:(0.809743,0.0950427),h:1,n:67,cr:0.0512676;
p:(0.760862,0.0966814),h:1,n:62,cr:0.0365366;
p:(0.858866,0.133388),h:1,n:57,cr:0.0535174;
p:(0.809371,0.189064),h:1,n:67,cr:0.0545415;
p:(0.873414,0.232848),h:1,n:72,cr:0.0355559;
p:(0.87054,0.0723288),h:1,n:56,cr:0.0458437;
p:(0.857143,0.0330907),h:1,n:51,cr:0.0433115;
p:(0.783851,0.24696),h:1,n:38,cr:0.0239933;
p:(0.786326,0.21092),h:1,n:37,cr:0.0468697;
p:(0.833243,0.233892),h:1,n:37,cr:0.041514;
p:(0.816651,0.281711),h:1,n:56,cr:0.0455038;
p:(0.861917,0.203548),h:1,n:39,cr:0.0378634;
p:(0.740438,0.202213),h:1,n:45,cr:0.0287976;
p:(0.762968,0.182012),h:1,n:48,cr:0.0532185;
p:(0.729398,0.225236),h:1,n:55,cr:0.0432876;
p:(0.826769,0.290829),h:1,n:37,cr:0.0334465;
p:(0.881611,0.299007),h:1,n:36,cr:0.0259272;
p:(0.879153,0.294854),h:1,n:38,cr:0.0378891;
p:(0.904782,0.257585),h:1,n:50,cr:0.0443925;
p:(0.906508,0.279178),h:1,n:42,cr:0.0341198;
p:(0.958753,0.0885283),h:1,n:41,cr:0.0323785;
p:(0.94664,0.122326),h:1,n:54,cr:0.0356729;
p:(0.923381,0.0433947),h:1,n:45,cr:0.0330521;
p:(0.927367,0.00798011),h:1,n:66,cr:0.0558569;
p:(0.915221,0.100857),h:1,n:40,cr:0.0349279;
p:(0.888949,0.0769947),h:1,n:41,cr:0.0343643;
p:(0.995912,0.113274),h:1,n:65,cr:0.0471655;
p:(0.997799,0.0540576),h:1,n:36,cr:0.0392278;
p:(0.994635,0.0687289),h:1,n:41,cr:0.042657;
p:(0.984363,0.00357857),h:1,n:60,cr:0.0562443;
p:(0.939294,0.255829),h:1,n:46,cr:0.0364805;
p:(0.921551,0.221726),h:1,n:62,cr:0.0678265;
p:(0.96921,0.296372),h:1,n:45,cr:0.0484978;
p:(0.96907,0.284316),h:1,n:49,cr:0.0306554;
p:(0.963092,0.264553),h:1,n:65,cr:0.0629201;
p:(0.974499,0.195538),h:1,n:43,cr:0.047966;
p:(0.998925,0.218257),h:1,n:36,cr:0.0314631;
p:(0.903394,0.160135),h:1,n:65,cr:0.0787266;
p:(0.923728,0.16965),h:1,n:70,cr:0.0657851;
p:(0.885014,0.186265),h:1,n:36,cr:0.0240226;
p:(0.889956,0.125468),h:1,n:70,cr:0.049078;
p:(0.911647,0.197551),h:1,n:43,cr:0.0296801;
p:(0.89042,0.312491),h:1,n:37,cr:0.0491035;
p:(0.904187,0.31294),h:1,n:41,cr:0.0329626;
p:(0.935852,0.324541),h:1,n:36,cr:0.0309224;
p:(0.984845,0.338243),h:1,n:65,cr:0.0384004;
p:(0.849272,0.831462),h:1,n:68,cr:0.078287;
p:(0.783099,0.79844),h:1,n:41,cr:0.0669316;
p:(0.840409,0.802663),h:1,n:50,cr:0.0383734;
p:(0.776374,0.833062),h:1,n:72,cr:0.0872963;
p:(0.813904,0.753383),h:1,n:65,cr:0.0424953;
p:(0.783282,0.774386),h:1,n:41,cr:0.0530517;
p:(0.639458,0.759735),h:1,n:45,cr:0.0310728;
p:(0.646113,0.80367),h:1,n:45,cr:0.0392619;
p:(0.865535,0.721006),h:1,n:73,cr:0.0469312;
p:(0.667341,0.879009),h:1,n:59,cr:0.0450001;
p:(0.684219,0.910972),h:1,n:72,cr:0.0793026;
p:(0.797798,0.732654),h:1,n:42,cr:0.0303978;
p:(0.782262,0.719462),h:1,n:38,cr:0.0373041;
p:(0.801897,0.677812),h:1,n:59,cr:0.0351287;
p:(0.838134,0.724252),h:1,n:54,cr:0.0653485;
p:(0.698713,0.681922),h:1,n:43,cr:0.0438875;
p:(0.72154,0.726846),h:1,n:51,cr:0.0500722;
p:(0.728638,0.711434),h:1,n:41,cr:0.0603042;
p:(0.742903,0.727776),h:1,n:39,cr:0.0546596;
p:(0.764871,0.699075),h:1,n:36,cr:0.0468548;
p:(0.782533,0.664243),h:1,n:42,cr:0.0304689;
p:(0.819374,0.638687),h:1,n:46,cr:0.0493755;
p:(0.95878,0.972059),h:1,n:38,cr:0.0423211;
p:(0.952662,0.948911),h:1,n:40,cr:0.0253725;
p:(0.932716,0.981453),h:1,n:48,cr:0.0317247;
p:(0.833239,0.925377),h:1,n:72,cr:0.0442272;
p:(0.887197,0.933273),h:1,n:43,cr:0.0475526;
p:(0.926825,0.910843),h:1,n:56,cr:0.0466076;
p:(0.897883,0.899521),h:1,n:53,cr:0.048523;
p:(0.879013,0.986644),h:1,n:68,cr:0.0529276;
p:(0.903366,0.983596),h:1,n:51,cr:0.0446273;
p:(0.856826,0.909512),h:1,n:43,cr:0.0444571;
p:(0.857159,0.865927),h:1,n:51,cr:0.0589212;
p:(0.909643,0.873979),h:1,n:59,cr:0.0424279;
p:(0.941243,0.880725),h:1,n:40,cr:0.032862;
p:(0.95223,0.916195),h:1,n:52,cr:0.063168;
p:(0.902208,0.85092),h:1,n:48,cr:0.0380826;
p:(0.913027,0.819695),h:1,n:52,cr:0.0354012;
p:(0.860587,0.804641),h:1,n:63,cr:0.0504234;
p:(0.886736,0.735307),h:1,n:71,cr:0.0474496;
p:(0.899086,0.767014),h:1,n:49,cr:0.0537185;
p:(0.814139,0.594497),h:1,n:65,cr:0.0589957;
p:(0.686661,0.984976),h:1,n:45,cr:0.0572972;
p:(0.745008,0.970042),h:1,n:70,cr:0.0822399;
p:(0.726575,0.967568),h:1,n:58,cr:0.0456683;
p:(0.820926,0.968395),h:1,n:36,cr:0.0308854;
p:(0.761612,0.963505),h:1,n:41,cr:0.0364446;
p:(0.778463,0.936349),h:1,n:46,cr:0.0496972;
p:(0.738959,0.932485),h:1,n:38,cr:0.043727;
p:(0.743727,0.922572),h:1,n:40,cr:0.0277444;
p:(0.750679,0.862092),h:1,n:65,cr:0.0651312;
p:(0.742623,0.84613),h:1,n:56,cr:0.0514349;
p:(0.698096,0.889511),h:1,n:40,cr:0.036652;
p:(0.787347,0.900294),h:1,n:59,cr:0.035334;
p:(0.821129,0.892815),h:1,n:43,cr:0.0370419;
p:(0.79549,0.865086),h:1,n:44,cr:0.0414325;
p:(0.670024,0.827056),h:1,n:51,cr:0.0542397;
p:(0.843312,0.666005),h:1,n:59,cr:0.0392577;
p:(0.730677,0.827615),h:1,n:71,cr:0.0424945;
p:(0.685986,0.809785),h:1,n:62,cr:0.0581801;
p:(0.736092,0.773503),h:1,n:50,cr:0.0467844;
p:(0.726144,0.746635),h:1,n:37,cr:0.051349;
p:(0.766701,0.80333),h:1,n:56,cr:0.0443516;
p:(0.137232,0.804177),h:1,n:52,cr:0.0597649;
p:(0.0560222,0.92522),h:1,n:42,cr:0.0378872;
p:(0.0742902,0.887395),h:1,n:39,cr:0.0256861;
p:(0.0592977,0.723838),h:1,n:63,cr:0.0476427;
p:(0.15239,0.732149),h:1,n:58,cr:0.0758545;
p:(0.159324,0.802604),h:1,n:43,cr:0.0673779;
p:(0.115571,0.722097),h:1,n:38,cr:0.0351589;
p:(0.109285,0.744149),h:1,n:40,cr:0.0412721;
p:(0.030324,0.806149),h:1,n:45,cr:0.0455348;
p:(0.041276,0.798474),h:1,n:36,cr:0.0325794;
p:(0.0123013,0.800708),h:1,n:38,cr:0.0398303;
p:(0.0354209,0.747803),h:1,n:56,cr:0.0482275;
p:(0.164617,0.987547),h:1,n:57,cr:0.0530914;
p:(0.160982,0.97061),h:1,n:41,cr:0.0415352;
p:(0.14823,0.925379),h:1,n:48,cr:0.0312128;
p:(0.0211838,0.969022),h:1,n:56,cr:0.0383269;
p:(0.14766,0.881062),h:1,n:44,cr:0.0545842;
p:(0.112964,0.861265),h:1,n:68,cr:0.0445922;
p:(0.163968,0.830012),h:1,n:45,cr:0.0467514;
p:(0.195898,0.77741),h:1,n:39,cr:0.0476388;
p:(0.0672935,0.840808),h:1,n:50,cr:0.0370867;
p:(0.0477418,0.821842),h:1,n:62,cr:0.0576611;
p:(0.0161775,0.845123),h:1,n:38,cr:0.0328549;
p:(0.0400871,0.925318),h:1,n:60,cr:0.0569129;
p:(0.180096,0.862918),h:1,n:42,cr:0.0317238;
p:(0.173301,0.937714),h:1,n:38,cr:0.0345188;
p:(0.169607,0.906804),h:1,n:40,cr:0.0377918;
p:(0.0964041,0.787642),h:1,n:52,cr:0.0374859;
p:(0.0943199,0.809355),h:1,n:39,cr:0.0432745;
p:(0.114459,0.880683),h:1,n:44,cr:0.031909;
p:(0.0116807,0.886344),h:1,n:48,cr:0.0447263;
