size:42372,ios:51334;
size:42391,ios:51078;
size:42246,ios:51340;
size:42204,ios:51710;
size:42087,ios:51689;
size:33069,ios:39177;
size:42304,ios:50904;
size:42456,ios:51226;
size:35894,ios:42059;
size:42389,ios:51519;
size:41834,ios:50776;
size:42162,ios:50901;
size:42079,ios:50371;
size:42379,ios:51430;
size:42136,ios:50568;
size:42310,ios:51243;
size:42316,ios:51450;
size:41915,ios:50358;
size:41946,ios:51511;
size:42080,ios:50708;
size:41657,ios:50738;
size:42200,ios:50989;
size:35546,ios:41918;
size:41860,ios:51025;
size:42288,ios:51085;
size:42093,ios:51770;
size:42000,ios:50879;
size:42266,ios:50784;
size:42195,ios:51157;
size:42062,ios:50677;
size:42374,ios:51629;
size:42041,ios:51710;
size:42369,ios:51284;
size:41844,ios:50620;
size:42379,ios:50070;
size:42538,ios:51356;
size:42192,ios:51214;
size:42164,ios:50608;
size:42150,ios:50886;
size:42016,ios:51379;
size:42412,ios:51655;
size:42132,ios:51392;
size:41778,ios:50994;
size:42295,ios:51793;
size:42365,ios:51317;
size:42020,ios:50833;
size:42318,ios:51617;
size:41997,ios:51086;
size:42257,ios:51302;
size:42219,ios:51532;
size:42285,ios:51189;
size:41965,ios:50800;
size:41753,ios:50704;
size:42076,ios:51276;
size:42285,ios:51112;
size:41830,ios:50705;
size:42255,ios:51326;
size:42437,ios:50839;
size:42037,ios:50901;
size:42255,ios:51092;
size:42016,ios:50766;
size:26018,ios:31320;
size:42339,ios:51038;
size:42239,ios:51161;
size:41887,ios:51189;
size:41974,ios:50092;
size:40859,ios:48259;
size:42393,ios:51169;
size:42092,ios:51329;
size:41979,ios:51063;
size:42413,ios:51661;
size:42356,ios:50929;
size:42328,ios:51413;
size:38192,ios:44555;
size:42056,ios:51369;
size:42155,ios:51341;
size:42190,ios:51161;
size:42229,ios:51194;
size:42263,ios:51295;
size:42085,ios:51160;
size:42230,ios:51502;
size:41529,ios:50752;
size:42229,ios:51456;
size:42478,ios:51558;
size:42078,ios:51187;
size:42173,ios:51464;
size:42366,ios:51403;
size:42114,ios:51318;
size:42105,ios:50926;
size:42332,ios:50918;
size:42280,ios:50927;
size:41509,ios:50579;
size:42018,ios:50620;
size:41982,ios:51409;
size:42222,ios:51169;
size:42139,ios:50557;
size:41921,ios:51326;
size:42205,ios:51195;
size:42595,ios:51856;
size:42211,ios:51290;
