size:1325,ios:3368;
size:1274,ios:3302;
size:1342,ios:3615;
size:1301,ios:3349;
size:1307,ios:3393;
size:1047,ios:2194;
size:1330,ios:3430;
size:1330,ios:3198;
size:1140,ios:2366;
size:1262,ios:3679;
size:1260,ios:3444;
size:1407,ios:3457;
size:1252,ios:3459;
size:1327,ios:3482;
size:1332,ios:3172;
size:1334,ios:3261;
size:1327,ios:3503;
size:1345,ios:3442;
size:1380,ios:3148;
size:1323,ios:3291;
size:1297,ios:3474;
size:1335,ios:2979;
size:1110,ios:2445;
size:1300,ios:3250;
size:1315,ios:3118;
size:1206,ios:3251;
size:1357,ios:3573;
size:1357,ios:3370;
size:1293,ios:3567;
size:1268,ios:3026;
size:1312,ios:3280;
size:1308,ios:3554;
size:1330,ios:3273;
size:1371,ios:3766;
size:1277,ios:2667;
size:1373,ios:3590;
size:1303,ios:3558;
size:1233,ios:3036;
size:1304,ios:3554;
size:1399,ios:3308;
size:1326,ios:3503;
size:1304,ios:2935;
size:1309,ios:3193;
size:1251,ios:3399;
size:1302,ios:3404;
size:1361,ios:3419;
size:1375,ios:3166;
size:1329,ios:3248;
size:1393,ios:3378;
size:1300,ios:3312;
size:1315,ios:3604;
size:1316,ios:2912;
size:1306,ios:3010;
size:1334,ios:3337;
size:1253,ios:3096;
size:1283,ios:3151;
size:1290,ios:3721;
size:1352,ios:3497;
size:1323,ios:3431;
size:1349,ios:3534;
size:1320,ios:3294;
size:836,ios:1904;
size:1380,ios:3131;
size:1389,ios:3545;
size:1331,ios:3325;
size:1312,ios:3162;
size:1264,ios:2881;
size:1302,ios:3424;
size:1290,ios:3115;
size:1353,ios:3334;
size:1269,ios:3277;
size:1306,ios:2896;
size:1355,ios:3325;
size:1144,ios:2419;
size:1337,ios:3431;
size:1339,ios:3270;
size:1341,ios:3172;
size:1389,ios:3342;
size:1304,ios:3699;
size:1326,ios:3713;
size:1418,ios:3471;
size:1341,ios:3727;
size:1338,ios:3169;
size:1307,ios:3538;
size:1301,ios:3560;
size:1298,ios:3353;
size:1360,ios:3625;
size:1338,ios:3385;
size:1331,ios:3661;
size:1366,ios:3487;
size:1275,ios:3020;
size:1334,ios:3211;
size:1307,ios:3217;
size:1328,ios:3373;
size:1310,ios:3422;
size:1313,ios:3291;
size:1370,ios:3578;
size:1352,ios:3265;
size:1350,ios:3198;
size:1314,ios:3628;
