p:(0.329524,0.142605),h:3,n:4,cr:1.08541;
p:(0.329524,0.142605),h:2,n:13,cr:0.405186;
p:(0.614212,0.227888),h:2,n:13,cr:0.433869;
p:(0.346734,0.774295),h:2,n:18,cr:0.470749;
p:(0.867143,0.664464),h:2,n:15,cr:0.588164;
p:(0.329524,0.142605),h:1,n:22,cr:0.103738;
p:(0.462368,0.124975),h:1,n:18,cr:0.0907688;
p:(0.435194,0.232841),h:1,n:14,cr:0.0787449;
p:(0.290087,0.346654),h:1,n:15,cr:0.0940402;
p:(0.329962,0.0591048),h:1,n:15,cr:0.116042;
p:(0.322782,0.521741),h:1,n:25,cr:0.181947;
p:(0.286519,0.134117),h:1,n:16,cr:0.102825;
p:(0.265373,0.272619),h:1,n:14,cr:0.0975917;
p:(0.0999802,0.181385),h:1,n:18,cr:0.120806;
p:(0.164788,0.111308),h:1,n:18,cr:0.10377;
p:(0.0979995,0.0071162),h:1,n:15,cr:0.0929303;
p:(0.0586195,0.219359),h:1,n:17,cr:0.0865925;
p:(0.0380447,0.347362),h:1,n:18,cr:0.141779;
p:(0.581297,0.170335),h:1,n:23,cr:0.12987;
p:(0.543189,0.308314),h:1,n:23,cr:0.115799;
p:(0.839699,0.230492),h:1,n:25,cr:0.153491;
p:(0.710276,0.144027),h:1,n:12,cr:0.131761;
p:(0.529012,0.550196),h:1,n:15,cr:0.0887912;
p:(0.548422,0.600366),h:1,n:19,cr:0.14066;
p:(0.5202,0.386623),h:1,n:25,cr:0.170054;
p:(0.602993,0.485933),h:1,n:25,cr:0.160431;
p:(0.384829,0.476826),h:1,n:18,cr:0.158018;
p:(0.59325,0.0883907),h:1,n:19,cr:0.081893;
p:(0.547817,0.0850364),h:1,n:15,cr:0.120292;
p:(0.80246,0.0778537),h:1,n:12,cr:0.110699;
p:(0.850151,0.0759561),h:1,n:21,cr:0.154439;
p:(0.346734,0.774295),h:1,n:19,cr:0.113543;
p:(0.350785,0.794682),h:1,n:14,cr:0.086219;
p:(0.40111,0.886063),h:1,n:13,cr:0.152488;
p:(0.427905,0.606738),h:1,n:18,cr:0.128467;
p:(0.234659,0.973691),h:1,n:13,cr:0.108771;
p:(0.189036,0.80267),h:1,n:22,cr:0.114237;
p:(0.170466,0.714314),h:1,n:13,cr:0.120651;
p:(0.116996,0.660039),h:1,n:13,cr:0.153831;
p:(0.0668373,0.635783),h:1,n:19,cr:0.0940883;
p:(0.112367,0.505943),h:1,n:13,cr:0.0846151;
p:(0.0873404,0.496073),h:1,n:14,cr:0.097514;
p:(0.23145,0.537016),h:1,n:21,cr:0.126837;
p:(0.0638421,0.942298),h:1,n:20,cr:0.0986544;
p:(0.114396,0.869556),h:1,n:13,cr:0.106884;
p:(0.463324,0.977989),h:1,n:20,cr:0.116303;
p:(0.588129,0.983614),h:1,n:15,cr:0.0800599;
p:(0.566246,0.782031),h:1,n:15,cr:0.106285;
p:(0.604186,0.841377),h:1,n:21,cr:0.0857695;
p:(0.867143,0.664464),h:1,n:12,cr:0.111557;
p:(0.93296,0.73644),h:1,n:12,cr:0.114701;
p:(0.965052,0.838244),h:1,n:16,cr:0.162452;
p:(0.881177,0.874957),h:1,n:12,cr:0.0969638;
p:(0.911098,0.485633),h:1,n:18,cr:0.110936;
p:(0.922452,0.424205),h:1,n:13,cr:0.098993;
p:(0.792273,0.502016),h:1,n:19,cr:0.0986497;
p:(0.752337,0.694782),h:1,n:18,cr:0.0766933;
p:(0.697216,0.605426),h:1,n:24,cr:0.089753;
p:(0.629774,0.715729),h:1,n:18,cr:0.0705534;
p:(0.790177,0.678368),h:1,n:16,cr:0.175317;
p:(0.830421,0.86377),h:1,n:14,cr:0.103085;
p:(0.698222,0.975783),h:1,n:21,cr:0.194356;
p:(0.954772,0.121296),h:1,n:25,cr:0.220017;
p:(0.855439,0.431955),h:1,n:13,cr:0.136036;
p:(0.329524,0.142605),h:0,n:0,cr:0;
p:(0.327693,0.129866),h:0,n:0,cr:0;
p:(0.325721,0.149193),h:0,n:0,cr:0;
p:(0.356036,0.153293),h:0,n:0,cr:0;
p:(0.344848,0.151956),h:0,n:0,cr:0;
p:(0.364836,0.161099),h:0,n:0,cr:0;
p:(0.380896,0.120106),h:0,n:0,cr:0;
p:(0.389551,0.124918),h:0,n:0,cr:0;
p:(0.394953,0.106124),h:0,n:0,cr:0;
p:(0.388247,0.13293),h:0,n:0,cr:0;
p:(0.381677,0.144905),h:0,n:0,cr:0;
p:(0.416974,0.0868003),h:0,n:0,cr:0;
p:(0.313965,0.108769),h:0,n:0,cr:0;
p:(0.358461,0.0815402),h:0,n:0,cr:0;
p:(0.29635,0.205478),h:0,n:0,cr:0;
p:(0.312578,0.174757),h:0,n:0,cr:0;
p:(0.374525,0.203728),h:0,n:0,cr:0;
p:(0.351907,0.192737),h:0,n:0,cr:0;
p:(0.307329,0.209132),h:0,n:0,cr:0;
p:(0.326217,0.200467),h:0,n:0,cr:0;
p:(0.305372,0.234316),h:0,n:0,cr:0;
p:(0.338086,0.238523),h:0,n:0,cr:0;
p:(0.462368,0.124975),h:0,n:0,cr:0;
p:(0.456415,0.109899),h:0,n:0,cr:0;
p:(0.481515,0.120054),h:0,n:0,cr:0;
p:(0.448555,0.127459),h:0,n:0,cr:0;
p:(0.456189,0.105336),h:0,n:0,cr:0;
p:(0.479133,0.0851047),h:0,n:0,cr:0;
p:(0.427195,0.159584),h:0,n:0,cr:0;
p:(0.438237,0.144235),h:0,n:0,cr:0;
p:(0.42713,0.150058),h:0,n:0,cr:0;
p:(0.479229,0.149741),h:0,n:0,cr:0;
p:(0.463772,0.157629),h:0,n:0,cr:0;
p:(0.499352,0.136383),h:0,n:0,cr:0;
p:(0.509938,0.140436),h:0,n:0,cr:0;
p:(0.530858,0.162536),h:0,n:0,cr:0;
p:(0.517251,0.155149),h:0,n:0,cr:0;
p:(0.543907,0.164855),h:0,n:0,cr:0;
p:(0.493649,0.162417),h:0,n:0,cr:0;
p:(0.510406,0.160489),h:0,n:0,cr:0;
p:(0.435194,0.232841),h:0,n:0,cr:0;
p:(0.420027,0.263149),h:0,n:0,cr:0;
p:(0.407355,0.272858),h:0,n:0,cr:0;
p:(0.437642,0.27682),h:0,n:0,cr:0;
p:(0.450139,0.305416),h:0,n:0,cr:0;
p:(0.491604,0.216553),h:0,n:0,cr:0;
p:(0.480248,0.211019),h:0,n:0,cr:0;
p:(0.478455,0.255009),h:0,n:0,cr:0;
p:(0.46862,0.304139),h:0,n:0,cr:0;
p:(0.46801,0.292797),h:0,n:0,cr:0;
p:(0.397662,0.200406),h:0,n:0,cr:0;
p:(0.359974,0.239612),h:0,n:0,cr:0;
p:(0.463761,0.207068),h:0,n:0,cr:0;
p:(0.478707,0.180554),h:0,n:0,cr:0;
p:(0.290087,0.346654),h:0,n:0,cr:0;
p:(0.286473,0.35135),h:0,n:0,cr:0;
p:(0.319117,0.336587),h:0,n:0,cr:0;
p:(0.288818,0.317244),h:0,n:0,cr:0;
p:(0.324949,0.31205),h:0,n:0,cr:0;
p:(0.308867,0.315412),h:0,n:0,cr:0;
p:(0.352943,0.375924),h:0,n:0,cr:0;
p:(0.279565,0.376981),h:0,n:0,cr:0;
p:(0.27633,0.359097),h:0,n:0,cr:0;
p:(0.35185,0.39226),h:0,n:0,cr:0;
p:(0.340022,0.38222),h:0,n:0,cr:0;
p:(0.222516,0.33272),h:0,n:0,cr:0;
p:(0.332418,0.293399),h:0,n:0,cr:0;
p:(0.214683,0.402848),h:0,n:0,cr:0;
p:(0.264374,0.410801),h:0,n:0,cr:0;
p:(0.329962,0.0591048),h:0,n:0,cr:0;
p:(0.322037,0.0204086),h:0,n:0,cr:0;
p:(0.323773,0.0564308),h:0,n:0,cr:0;
p:(0.305766,0.0216515),h:0,n:0,cr:0;
p:(0.394216,0.00809587),h:0,n:0,cr:0;
p:(0.432847,0.0102515),h:0,n:0,cr:0;
p:(0.410478,0.0317171),h:0,n:0,cr:0;
p:(0.376356,0.0625624),h:0,n:0,cr:0;
p:(0.404013,0.0631566),h:0,n:0,cr:0;
p:(0.430798,0.0535256),h:0,n:0,cr:0;
p:(0.410689,0.0460534),h:0,n:0,cr:0;
p:(0.2294,0.00649945),h:0,n:0,cr:0;
p:(0.222674,0.0148884),h:0,n:0,cr:0;
p:(0.344624,0.071271),h:0,n:0,cr:0;
p:(0.252917,0.0591108),h:0,n:0,cr:0;
p:(0.322782,0.521741),h:0,n:0,cr:0;
p:(0.286513,0.497505),h:0,n:0,cr:0;
p:(0.276112,0.502905),h:0,n:0,cr:0;
p:(0.268793,0.491751),h:0,n:0,cr:0;
p:(0.257877,0.493016),h:0,n:0,cr:0;
p:(0.279037,0.532713),h:0,n:0,cr:0;
p:(0.330628,0.547789),h:0,n:0,cr:0;
p:(0.289145,0.520296),h:0,n:0,cr:0;
p:(0.302346,0.466742),h:0,n:0,cr:0;
p:(0.3274,0.469547),h:0,n:0,cr:0;
p:(0.282538,0.473488),h:0,n:0,cr:0;
p:(0.329999,0.441133),h:0,n:0,cr:0;
p:(0.35723,0.428739),h:0,n:0,cr:0;
p:(0.35864,0.459493),h:0,n:0,cr:0;
p:(0.257919,0.455199),h:0,n:0,cr:0;
p:(0.279513,0.440764),h:0,n:0,cr:0;
p:(0.246941,0.468854),h:0,n:0,cr:0;
p:(0.30379,0.447083),h:0,n:0,cr:0;
p:(0.293361,0.451217),h:0,n:0,cr:0;
p:(0.315934,0.431217),h:0,n:0,cr:0;
p:(0.244719,0.442121),h:0,n:0,cr:0;
p:(0.171204,0.442949),h:0,n:0,cr:0;
p:(0.161089,0.438313),h:0,n:0,cr:0;
p:(0.181304,0.423955),h:0,n:0,cr:0;
p:(0.215853,0.426147),h:0,n:0,cr:0;
p:(0.286519,0.134117),h:0,n:0,cr:0;
p:(0.286943,0.10911),h:0,n:0,cr:0;
p:(0.276408,0.131989),h:0,n:0,cr:0;
p:(0.235845,0.137785),h:0,n:0,cr:0;
p:(0.257967,0.176503),h:0,n:0,cr:0;
p:(0.24716,0.140082),h:0,n:0,cr:0;
p:(0.231167,0.182844),h:0,n:0,cr:0;
p:(0.243249,0.0634772),h:0,n:0,cr:0;
p:(0.264752,0.0915687),h:0,n:0,cr:0;
p:(0.236589,0.0926226),h:0,n:0,cr:0;
p:(0.233546,0.104851),h:0,n:0,cr:0;
p:(0.224373,0.116005),h:0,n:0,cr:0;
p:(0.284505,0.21288),h:0,n:0,cr:0;
p:(0.255929,0.187517),h:0,n:0,cr:0;
p:(0.23933,0.225475),h:0,n:0,cr:0;
p:(0.231912,0.217754),h:0,n:0,cr:0;
p:(0.265373,0.272619),h:0,n:0,cr:0;
p:(0.26938,0.258047),h:0,n:0,cr:0;
p:(0.23357,0.251565),h:0,n:0,cr:0;
p:(0.260362,0.245224),h:0,n:0,cr:0;
p:(0.179061,0.277553),h:0,n:0,cr:0;
p:(0.167785,0.273447),h:0,n:0,cr:0;
p:(0.180862,0.247372),h:0,n:0,cr:0;
p:(0.265787,0.294962),h:0,n:0,cr:0;
p:(0.237781,0.289667),h:0,n:0,cr:0;
p:(0.239045,0.315265),h:0,n:0,cr:0;
p:(0.223424,0.320089),h:0,n:0,cr:0;
p:(0.178874,0.295362),h:0,n:0,cr:0;
p:(0.335749,0.260573),h:0,n:0,cr:0;
p:(0.346618,0.284154),h:0,n:0,cr:0;
p:(0.0999802,0.181385),h:0,n:0,cr:0;
p:(0.0991716,0.216437),h:0,n:0,cr:0;
p:(0.0749457,0.155032),h:0,n:0,cr:0;
p:(0.0942625,0.130425),h:0,n:0,cr:0;
p:(0.116356,0.139723),h:0,n:0,cr:0;
p:(0.132883,0.198507),h:0,n:0,cr:0;
p:(0.170936,0.192909),h:0,n:0,cr:0;
p:(0.139161,0.22373),h:0,n:0,cr:0;
p:(0.142635,0.229398),h:0,n:0,cr:0;
p:(0.210535,0.230086),h:0,n:0,cr:0;
p:(0.116158,0.202273),h:0,n:0,cr:0;
p:(0.137215,0.151701),h:0,n:0,cr:0;
p:(0.216697,0.193942),h:0,n:0,cr:0;
p:(0.19558,0.161905),h:0,n:0,cr:0;
p:(0.0197299,0.127143),h:0,n:0,cr:0;
p:(0.0497081,0.165644),h:0,n:0,cr:0;
p:(0.0588729,0.158978),h:0,n:0,cr:0;
p:(0.0688707,0.123325),h:0,n:0,cr:0;
p:(0.164788,0.111308),h:0,n:0,cr:0;
p:(0.166475,0.122689),h:0,n:0,cr:0;
p:(0.145569,0.105559),h:0,n:0,cr:0;
p:(0.148303,0.109303),h:0,n:0,cr:0;
p:(0.158748,0.0854301),h:0,n:0,cr:0;
p:(0.152931,0.0940857),h:0,n:0,cr:0;
p:(0.166867,0.0903427),h:0,n:0,cr:0;
p:(0.202548,0.104476),h:0,n:0,cr:0;
p:(0.214051,0.114133),h:0,n:0,cr:0;
p:(0.136354,0.056077),h:0,n:0,cr:0;
p:(0.130042,0.060581),h:0,n:0,cr:0;
p:(0.146144,0.0601973),h:0,n:0,cr:0;
p:(0.138211,0.0606854),h:0,n:0,cr:0;
p:(0.158904,0.0658974),h:0,n:0,cr:0;
p:(0.213808,0.0295872),h:0,n:0,cr:0;
