p:(0.593242,0.482821),h:1,n:84,cr:0.114292;
p:(0.912117,0.873079),h:1,n:87,cr:0.0929003;
p:(0.350249,0.93785),h:1,n:73,cr:0.105426;
p:(0.823887,0.503893),h:1,n:69,cr:0.0879799;
p:(0.506307,0.765685),h:1,n:86,cr:0.0954566;
p:(0.20856,0.119716),h:1,n:120,cr:0.121441;
p:(0.177578,0.446641),h:1,n:117,cr:0.125659;
p:(0.71552,0.636087),h:1,n:125,cr:0.430209;
p:(0.265993,0.242633),h:1,n:76,cr:0.0962128;
p:(0.247931,0.760702),h:1,n:83,cr:0.110414;
p:(0.0586058,0.161929),h:1,n:90,cr:0.111923;
p:(0.678235,0.646129),h:1,n:80,cr:0.110452;
p:(0.609601,0.112026),h:1,n:116,cr:0.128696;
p:(0.933588,0.173326),h:1,n:97,cr:0.0926224;
p:(0.699152,0.188885),h:1,n:113,cr:0.103685;
p:(0.846609,0.686328),h:1,n:94,cr:0.102743;
p:(0.450331,0.0872157),h:1,n:120,cr:0.124587;
p:(0.526689,0.618087),h:1,n:102,cr:0.104752;
p:(0.703469,0.923954),h:1,n:121,cr:0.14954;
p:(0.0803096,0.899487),h:1,n:126,cr:0.116669;
p:(0.592731,0.808995),h:1,n:82,cr:0.119788;
p:(0.674448,0.404218),h:1,n:121,cr:0.121437;
p:(0.938221,0.373953),h:1,n:104,cr:0.11444;
p:(0.539594,0.31631),h:1,n:113,cr:0.115437;
p:(0.395751,0.822965),h:1,n:102,cr:0.130753;
p:(0.18828,0.630724),h:1,n:113,cr:0.113718;
p:(0.946482,0.568286),h:1,n:97,cr:0.11235;
p:(0.448117,0.473016),h:1,n:87,cr:0.11321;
p:(0.78798,0.121733),h:1,n:100,cr:0.120351;
p:(0.404153,0.239337),h:1,n:97,cr:0.122703;
p:(0.77041,0.800421),h:1,n:100,cr:0.0992398;
p:(0.0545379,0.730483),h:1,n:97,cr:0.0972326;
p:(0.0984363,0.315033),h:1,n:97,cr:0.107617;
p:(0.388321,0.63152),h:1,n:87,cr:0.119358;
p:(0.0544111,0.522331),h:1,n:76,cr:0.126975;
p:(0.797066,0.321109),h:1,n:98,cr:0.0951253;
p:(0.226311,0.905313),h:1,n:97,cr:0.122683;
p:(0.976349,0.831633),h:1,n:111,cr:0.203875;
p:(0.149708,0.0713371),h:1,n:110,cr:0.211174;
p:(0.296412,0.449458),h:1,n:114,cr:0.11764;
p:(0.885877,0.0797083),h:1,n:114,cr:0.663941;
p:(0.557934,0.488501),h:0,n:0,cr:0;
p:(0.562613,0.490234),h:0,n:0,cr:0;
p:(0.563946,0.481938),h:0,n:0,cr:0;
p:(0.570219,0.498736),h:0,n:0,cr:0;
p:(0.573466,0.499071),h:0,n:0,cr:0;
p:(0.549662,0.492005),h:0,n:0,cr:0;
p:(0.550535,0.493659),h:0,n:0,cr:0;
p:(0.545378,0.497831),h:0,n:0,cr:0;
p:(0.54769,0.483137),h:0,n:0,cr:0;
p:(0.544515,0.486013),h:0,n:0,cr:0;
p:(0.550918,0.460951),h:0,n:0,cr:0;
p:(0.541137,0.465833),h:0,n:0,cr:0;
p:(0.602758,0.46824),h:0,n:0,cr:0;
p:(0.592846,0.469564),h:0,n:0,cr:0;
p:(0.593242,0.482821),h:0,n:0,cr:0;
p:(0.568664,0.514344),h:0,n:0,cr:0;
p:(0.565176,0.518993),h:0,n:0,cr:0;
p:(0.557498,0.514571),h:0,n:0,cr:0;
p:(0.555965,0.526893),h:0,n:0,cr:0;
p:(0.5606,0.532371),h:0,n:0,cr:0;
p:(0.540497,0.539102),h:0,n:0,cr:0;
p:(0.541083,0.544104),h:0,n:0,cr:0;
p:(0.532842,0.543525),h:0,n:0,cr:0;
p:(0.529908,0.546735),h:0,n:0,cr:0;
p:(0.544675,0.549047),h:0,n:0,cr:0;
p:(0.59044,0.595346),h:0,n:0,cr:0;
p:(0.595519,0.597091),h:0,n:0,cr:0;
p:(0.581508,0.58302),h:0,n:0,cr:0;
